instance_name,algo_type,source,target,k,vertices,edges,vertices_preprocess,edges_preprocess,path_count,avg_length,ms, ms_preprocess,diversity, diversity_uw, div_min, div_max, min_uw, max_uw
Grid10_10,Diverse,1|1,10|10,10,100,360,100,180,48620,18.0,24,0,1476.0,1476.0,20.0,36.0,20.0,36.0
Grid10_10,KBest,1|1,10|10,10,100,360,100,180,48620,18.0,1,0,1296.0,1296.0,14.0,36.0,14.0,36.0
Grid10_10,Diverse,1|1,10|10,50,100,360,100,180,48620,18.0,66,0,37444.0,37444.0,0.0,36.0,0.0,36.0
Grid10_10,KBest,1|1,10|10,50,100,360,100,180,48620,18.0,0,0,35686.0,35686.0,8.0,36.0,8.0,36.0
Grid10_10,Diverse,1|1,10|10,100,100,360,100,180,48620,18.0,171,0,149856.0,149856.0,0.0,36.0,0.0,36.0
Grid10_10,KBest,1|1,10|10,100,100,360,100,180,48620,18.0,0,0,142250.0,142250.0,4.0,36.0,4.0,36.0
Grid20_20,Diverse,1|1,20|20,10,400,1520,164,280,200001,38.0,26,0,3276.0,3276.0,60.0,76.0,60.0,76.0
Grid20_20,KBest,1|1,20|20,10,400,1520,164,280,200001,38.0,2,0,2046.0,2046.0,26.0,56.0,26.0,56.0
Grid20_20,Diverse,1|1,20|20,50,400,1520,164,280,200001,38.0,347,0,85164.0,85164.0,0.0,76.0,0.0,76.0
Grid20_20,KBest,1|1,20|20,50,400,1520,164,280,200001,38.0,2,0,56742.0,56742.0,12.0,64.0,12.0,64.0
Grid20_20,Diverse,1|1,20|20,100,400,1520,164,280,200001,38.0,1046,0,340976.0,340976.0,0.0,76.0,0.0,76.0
Grid20_20,KBest,1|1,20|20,100,400,1520,164,280,200001,38.0,2,0,231892.0,231892.0,12.0,64.0,12.0,64.0
Grid30_30,Diverse,1|1,30|30,10,900,3480,188,295,200001,58.0,78,0,5076.0,5076.0,100.0,116.0,100.0,116.0
Grid30_30,KBest,1|1,30|30,10,900,3480,188,295,200001,58.0,6,0,2024.0,2024.0,32.0,54.0,32.0,54.0
Grid30_30,Diverse,1|1,30|30,50,900,3480,188,295,200001,58.0,1084,0,133708.0,133708.0,24.0,116.0,24.0,116.0
Grid30_30,KBest,1|1,30|30,50,900,3480,188,295,200001,58.0,4,0,53636.0,53636.0,16.0,54.0,16.0,54.0
Grid30_30,Diverse,1|1,30|30,100,900,3480,188,295,200001,58.0,4471,0,535680.0,535680.0,0.0,116.0,0.0,116.0
Grid30_30,KBest,1|1,30|30,100,900,3480,188,295,200001,58.0,4,0,219302.0,219302.0,14.0,60.0,14.0,60.0
Grid40_40,Diverse,1|1,40|40,10,1600,6240,191,297,200001,78.0,168,0,6876.0,6876.0,140.0,156.0,140.0,156.0
Grid40_40,KBest,1|1,40|40,10,1600,6240,191,297,200001,78.0,9,0,2178.0,2178.0,32.0,64.0,32.0,64.0
Grid40_40,Diverse,1|1,40|40,50,1600,6240,191,297,200001,78.0,3260,0,182652.0,182652.0,74.0,156.0,74.0,156.0
Grid40_40,KBest,1|1,40|40,50,1600,6240,191,297,200001,78.0,9,0,61276.0,61276.0,12.0,66.0,12.0,66.0
Grid40_40,Diverse,1|1,40|40,100,1600,6240,191,297,200001,78.0,15510,0,731832.0,731832.0,0.0,156.0,0.0,156.0
Grid40_40,KBest,1|1,40|40,100,1600,6240,191,297,200001,78.0,9,0,247280.0,247280.0,12.0,66.0,12.0,66.0
Grid50_50,Diverse,1|1,50|50,10,2500,9800,272,408,200001,98.0,355,0,8676.0,8676.0,182.0,196.0,182.0,196.0
Grid50_50,KBest,1|1,50|50,10,2500,9800,272,408,200001,98.0,16,0,2132.0,2132.0,30.0,56.0,30.0,56.0
Grid50_50,Diverse,1|1,50|50,50,2500,9800,272,408,200001,98.0,9535,0,231652.0,231652.0,110.0,196.0,110.0,196.0
Grid50_50,KBest,1|1,50|50,50,2500,9800,272,408,200001,98.0,15,0,55908.0,55908.0,18.0,56.0,18.0,56.0
Grid50_50,Diverse,1|1,50|50,100,2500,9800,272,408,200001,98.0,49398,0,928688.0,928688.0,0.0,196.0,0.0,196.0
Grid50_50,KBest,1|1,50|50,100,2500,9800,272,408,200001,98.0,15,0,226688.0,226688.0,14.0,64.0,14.0,64.0
Grid60_60,Diverse,1|1,60|60,10,3600,14160,234,346,200001,118.0,641,0,10476.0,10476.0,222.0,236.0,222.0,236.0
Grid60_60,KBest,1|1,60|60,10,3600,14160,234,346,200001,118.0,193,0,2174.0,2174.0,24.0,64.0,24.0,64.0
Grid60_60,Diverse,1|1,60|60,50,3600,14160,234,346,200001,118.0,16755,0,280652.0,280652.0,142.0,236.0,142.0,236.0
Grid60_60,KBest,1|1,60|60,50,3600,14160,234,346,200001,118.0,189,0,59998.0,59998.0,22.0,64.0,22.0,64.0
Grid60_60,Diverse,1|1,60|60,100,3600,14160,234,346,200001,118.0,58552,0,1126008.0,1126008.0,36.0,236.0,36.0,236.0
Grid60_60,KBest,1|1,60|60,100,3600,14160,234,346,200001,118.0,183,0,242392.0,242392.0,18.0,64.0,18.0,64.0
Grid70_70,Diverse,1|1,70|70,10,4900,19320,312,448,200001,138.0,984,0,12276.0,12276.0,262.0,276.0,262.0,276.0
Grid70_70,KBest,1|1,70|70,10,4900,19320,312,448,200001,138.0,367,0,2132.0,2132.0,30.0,56.0,30.0,56.0
Grid70_70,Diverse,1|1,70|70,50,4900,19320,312,448,200001,138.0,29332,0,329652.0,329652.0,196.0,276.0,196.0,276.0
Grid70_70,KBest,1|1,70|70,50,4900,19320,312,448,200001,138.0,366,0,55908.0,55908.0,18.0,56.0,18.0,56.0
Grid70_70,Diverse,1|1,70|70,100,4900,19320,312,448,200001,138.0,96779,0,1323792.0,1323792.0,116.0,276.0,116.0,276.0
Grid70_70,KBest,1|1,70|70,100,4900,19320,312,448,200001,138.0,372,0,226688.0,226688.0,14.0,64.0,14.0,64.0
Grid80_80,Diverse,1|1,80|80,10,6400,25280,274,386,200001,158.0,1650,0,14076.0,14076.0,300.0,316.0,300.0,316.0
Grid80_80,KBest,1|1,80|80,10,6400,25280,274,386,200001,158.0,312,0,2174.0,2174.0,24.0,64.0,24.0,64.0
Grid80_80,Diverse,1|1,80|80,50,6400,25280,274,386,200001,158.0,45511,0,378652.0,378652.0,230.0,316.0,230.0,316.0
Grid80_80,KBest,1|1,80|80,50,6400,25280,274,386,200001,158.0,308,0,59998.0,59998.0,22.0,64.0,22.0,64.0
Grid80_80,Diverse,1|1,80|80,100,6400,25280,274,386,200001,158.0,185827,0,1521792.0,1521792.0,160.0,316.0,160.0,316.0
Grid80_80,KBest,1|1,80|80,100,6400,25280,274,386,200001,158.0,316,0,242392.0,242392.0,18.0,64.0,18.0,64.0
Grid90_90,Diverse,1|1,90|90,10,8100,32040,286,390,200001,178.0,2844,0,15876.0,15876.0,342.0,356.0,342.0,356.0
Grid90_90,KBest,1|1,90|90,10,8100,32040,286,390,200001,178.0,704,0,2568.0,2568.0,34.0,72.0,34.0,72.0
Grid90_90,Diverse,1|1,90|90,50,8100,32040,286,390,200001,178.0,65739,0,427652.0,427652.0,274.0,356.0,274.0,356.0
Grid90_90,KBest,1|1,90|90,50,8100,32040,286,390,200001,178.0,708,0,66438.0,66438.0,16.0,74.0,16.0,74.0
Grid90_90,Diverse,1|1,90|90,100,8100,32040,286,390,200001,178.0,217274,0,1719792.0,1719792.0,186.0,356.0,186.0,356.0
Grid90_90,KBest,1|1,90|90,100,8100,32040,286,390,200001,178.0,716,0,270792.0,270792.0,16.0,76.0,16.0,76.0
Grid100_100,Diverse,1|1,100|100,10,10000,39600,331,446,200001,198.0,4279,0,17676.0,17676.0,380.0,396.0,380.0,396.0
Grid100_100,KBest,1|1,100|100,10,10000,39600,331,446,200001,198.0,10135,0,2108.0,2108.0,24.0,58.0,24.0,58.0
Grid100_100,Diverse,1|1,100|100,50,10000,39600,331,446,200001,198.0,93159,0,476652.0,476652.0,316.0,396.0,316.0,396.0
Grid100_100,KBest,1|1,100|100,50,10000,39600,331,446,200001,198.0,10209,0,55710.0,55710.0,22.0,60.0,22.0,60.0
Grid100_100,Diverse,1|1,100|100,100,10000,39600,331,446,200001,198.0,341302,0,1917792.0,1917792.0,214.0,396.0,214.0,396.0
Grid100_100,KBest,1|1,100|100,100,10000,39600,331,446,200001,198.0,10038,0,228380.0,228380.0,14.0,62.0,14.0,62.0
Grid110_110,Diverse,1|1,110|110,10,12100,47960,334,446,200001,218.0,6506,0,19476.0,19476.0,420.0,436.0,420.0,436.0
Grid110_110,KBest,1|1,110|110,10,12100,47960,334,446,200001,218.0,16580,0,2174.0,2174.0,24.0,64.0,24.0,64.0
Grid110_110,Diverse,1|1,110|110,50,12100,47960,334,446,200001,218.0,129403,0,525652.0,525652.0,354.0,436.0,354.0,436.0
Grid110_110,KBest,1|1,110|110,50,12100,47960,334,446,200001,218.0,15917,0,59998.0,59998.0,22.0,64.0,22.0,64.0
Grid110_110,Diverse,1|1,110|110,100,12100,47960,334,446,200001,218.0,410092,0,2115792.0,2115792.0,272.0,436.0,272.0,436.0
Grid110_110,KBest,1|1,110|110,100,12100,47960,334,446,200001,218.0,17002,0,242392.0,242392.0,18.0,64.0,18.0,64.0
Grid120_120,Diverse,1|1,120|120,10,14400,57120,354,466,200001,238.0,8964,0,21276.0,21276.0,462.0,476.0,462.0,476.0
Grid120_120,KBest,1|1,120|120,10,14400,57120,354,466,200001,238.0,7277,0,2174.0,2174.0,24.0,64.0,24.0,64.0
Grid120_120,Diverse,1|1,120|120,50,14400,57120,354,466,200001,238.0,177936,0,574652.0,574652.0,396.0,476.0,396.0,476.0
Grid120_120,KBest,1|1,120|120,50,14400,57120,354,466,200001,238.0,7191,0,59998.0,59998.0,22.0,64.0,22.0,64.0
Grid120_120,Diverse,1|1,120|120,100,14400,57120,354,466,200001,238.0,589370,0,2313792.0,2313792.0,320.0,476.0,320.0,476.0
Grid120_120,KBest,1|1,120|120,100,14400,57120,354,466,200001,238.0,7296,0,242392.0,242392.0,18.0,64.0,18.0,64.0
Grid130_130,Diverse,1|1,130|130,10,16900,67080,374,486,200001,258.0,12109,0,23076.0,23076.0,502.0,516.0,502.0,516.0
Grid130_130,KBest,1|1,130|130,10,16900,67080,374,486,200001,258.0,99069,0,2174.0,2174.0,24.0,64.0,24.0,64.0
Grid130_130,Diverse,1|1,130|130,50,16900,67080,374,486,200001,258.0,235919,0,623652.0,623652.0,438.0,516.0,438.0,516.0
Grid130_130,KBest,1|1,130|130,50,16900,67080,374,486,200001,258.0,100683,0,59998.0,59998.0,22.0,64.0,22.0,64.0
Grid130_130,Diverse,1|1,130|130,100,16900,67080,374,486,200001,258.0,767561,0,2511792.0,2511792.0,340.0,516.0,340.0,516.0
Grid130_130,KBest,1|1,130|130,100,16900,67080,374,486,200001,258.0,100773,0,242392.0,242392.0,18.0,64.0,18.0,64.0
Grid140_140,Diverse,1|1,140|140,10,19600,77840,386,490,200001,278.0,16196,0,24876.0,24876.0,540.0,556.0,540.0,556.0
Grid140_140,KBest,1|1,140|140,10,19600,77840,386,490,200001,278.0,183086,0,2568.0,2568.0,34.0,72.0,34.0,72.0
Grid140_140,Diverse,1|1,140|140,50,19600,77840,386,490,200001,278.0,274171,0,672652.0,672652.0,480.0,556.0,480.0,556.0
Grid140_140,KBest,1|1,140|140,50,19600,77840,386,490,200001,278.0,181924,0,66438.0,66438.0,16.0,74.0,16.0,74.0
Grid140_140,Diverse,1|1,140|140,100,19600,77840,386,490,200001,278.0,894938,0,2709792.0,2709792.0,400.0,556.0,400.0,556.0
Grid140_140,KBest,1|1,140|140,100,19600,77840,386,490,200001,278.0,183809,0,270792.0,270792.0,16.0,76.0,16.0,76.0
Grid150_150,Diverse,1|1,150|150,10,22500,89400,414,526,200001,298.0,20086,0,26676.0,26676.0,582.0,596.0,582.0,596.0
Grid150_150,KBest,1|1,150|150,10,22500,89400,414,526,200001,298.0,1679655,0,2174.0,2174.0,24.0,64.0,24.0,64.0
Grid150_150,Diverse,1|1,150|150,50,22500,89400,414,526,200001,298.0,340537,0,721652.0,721652.0,508.0,596.0,508.0,596.0
Grid150_150,KBest,1|1,150|150,50,22500,89400,414,526,200001,298.0,1747210,0,59998.0,59998.0,22.0,64.0,22.0,64.0
Grid150_150,Diverse,1|1,150|150,100,22500,89400,414,526,200001,298.0,1115699,0,2907792.0,2907792.0,430.0,596.0,430.0,596.0
Grid150_150,KBest,1|1,150|150,100,22500,89400,414,526,200001,298.0,1693160,0,242392.0,242392.0,18.0,64.0,18.0,64.0
